"","GIS_STATION","LATITUDE","LONGITUDE","AVG_CPUE"
"122","E-03",56.35004,-166.40869,4688.82003091169
"123","M-27",58.99922,-174.35763,11089.3978454761
"124","F-02",56.69139,-167.07716,7105.09767827401
"125","JI2221",57.82272,-170.62398,2140.25652992255
"126","J-22",57.98968,-170.96212,3021.86662363143
"127","GF2221",56.82222,-170.45876,18747.0335831455
"128","G-22",56.98848,-170.78903,11947.8184802881
"129","JI2019",57.84992,-169.32576,11350.8212494453
"130","G-21",57.00356,-170.11359,32819.1126507477
"131","J-18",57.9978,-168.43709,4051.83550332009
"132","N-26",59.31565,-173.79053,3118.50787596889
"133","G-05",56.98178,-165.2255,7035.28145348909
"134","F-12",56.68398,-160.98434,2260.55267909541
"135","K-21",58.31489,-170.37946,6443.05159276896
"136","K-01",58.31946,-167.82176,3607.62953186197
"137","K-25",58.30773,-172.93426,4242.20195596017
"138","H-25",57.32814,-172.81528,3021.45319767642
"139","C-03",55.68234,-166.39372,8247.50810560381
"140","D-02",56.02472,-167.00978,5259.08305807936
"141","HG2019",57.18815,-169.30313,9709.49285373243
"142","H-22",57.31782,-170.85066,8150.5725308434
"143","K-24",58.36181,-172.3055,2011.07212842198
"144","C-01",55.65677,-167.58683,4370.09585166352
"145","D-06",55.96208,-164.59951,12169.2992951616
"146","C-07",55.72592,-163.98988,11291.0237526698
"147","JI1918",57.84038,-168.75972,4282.6925466776
"148","A-05",54.97907,-165.16376,7167.27289296751
"149","G-20",57.00174,-169.57331,15300.2799490003
"150","B-02",55.35637,-166.9762,8911.95382788111
"151","M-21",58.97978,-170.46222,2244.54771400904
"152","G-08",57.00833,-163.39714,3435.16498214449
"153","E-08",56.35636,-163.40259,4929.08091028365
"154","H-02",57.32951,-167.13548,5022.95632606781
"155","F-18",56.6494,-168.28903,9073.52344006374
"156","G-18",56.98462,-168.33503,7440.57694249017
"157","GF2019",56.84417,-169.28305,3955.99972041228
"158","M-25",58.97738,-173.08979,1988.50165927407
"159","E-21",56.34095,-170.02358,12156.6079370471
"160","L-25",58.64277,-172.96579,4671.7514604105
"161","G-25",56.99973,-172.67473,4725.53633611495
"162","I-25",57.64161,-172.79627,5114.68792162119
"163","K-19",58.34852,-169.12617,4525.11937247679
"164","I-22",57.65144,-170.8866,4905.32867274938
"165","I-01",57.64447,-167.74331,7926.07027678359
"166","H-08",57.339,-163.39655,2501.92574416932
"167","J-24",57.99762,-172.28184,2945.72405997289
"168","GF1918",56.84254,-168.60033,8843.1280716095
"169","F-04",56.69123,-165.84027,9278.08309221561
"170","G-04",57.02425,-165.85254,6650.63144897682
"171","G-26",56.99938,-173.25165,5129.37055562352
"172","E-02",56.33292,-167.01829,5526.42940320844
"173","N-20",59.33889,-169.88546,2546.95201877994
"174","HG1918",57.16759,-168.65086,2901.1412776202
"175","D-09",55.9951,-162.81512,2457.91189108379
"176","M-20",59.00916,-169.83605,4905.34064200105
"177","F-24",56.66253,-171.95487,6041.16909206311
"178","M-28",59.00698,-174.97768,5344.08433988929
"179","F-22",56.64432,-170.7415,11263.5075358397
"180","G-24",57.00884,-172.082,2029.82150340877
"181","E-22",56.33765,-170.65297,7684.97349707713
"182","E-01",56.31731,-167.65667,3947.05295581204
"183","I-18",57.64779,-168.39432,4038.44502424124
"184","HG2221",57.10432,-170.466,15692.1218326298
"185","J-21",57.97884,-170.31595,4793.42272805553
"186","C-09",55.65292,-162.83366,7470.45365815812
"187","J-19",58.01753,-169.08331,4569.36438430291
