YEAR,summer_bt,cp_extent
1988,2.136684782608696,56942
1989,2.884764542936288,29674
1990,2.097068403908795,45313
1991,2.4874626865671643,40501
1992,1.6310126582278481,60551
1993,2.8414414414414413,35288
1994,1.6144827586206896,54135
1995,1.524715909090909,71378
1996,3.28121546961326,27669
1997,2.6290960451977403,43308
1998,3.113714285714286,25664
1999,0.7126801152737752,99047
2000,2.007780979827089,59749
2001,2.451388888888889,45313
2002,3.083835616438356,25664
2003,3.6836512261580383,13233
2004,3.228142076502732,24461
2005,3.258092485549133,23258
2006,1.6732432432432431,67769
2007,1.5826666666666667,78997
2008,1.1016042780748663,96240
2009,1.1957333333333333,89824
2010,1.3386666666666667,74987
2011,2.312,45714
2012,0.8268096514745308,103057
2013,1.6370666666666667,72982
2014,3.018666666666667,36491
2015,3.1336,34486
2016,4.210666666666667,25664
2017,2.6528,48120
2018,4.159466666666667,1604
2019,4.354133333333333,8020
2021,3.369066666666667,18446
2022,2.4816,49724
2023,2.2439999999999998,48922
2024,2.4724928366762176,44511
